Sehir;Lattitude;Longitude
Antalya;36.897886;30.7131623
Ankara;39.929065;32.8618923
Erzurum;39.9055538;41.2643566
Izmir;38.4256454;27.143863
Gaziantep;37.0616534;37.3829676
Istanbul;41.0032935;29.0303688
Samsun;41.0032935;29.0303688
Bursa;40.2175329;29.0356816
Kayseri;38.723514;35.4001475
Elazig;38.6647213;39.1631326
Hakkari;37.5743107;43.7172825
Ordu;40.9935895;37.8711567
Canakkale;40.1306188;26.3920736
Eskisehir;39.7654539;30.4747749
Kars;40.5967283;43.0842778
Mardin;37.3205853;40.7112159
Giresun;40.9043241;38.3442146
Yalova;40.6436343;29.2486784
Sivas;39.7484572;36.9608901
Mersin;36.7428322;34.4588663
Van;38.5030165;43.2885147
Aydýn;37.7247711;27.6536325
Diyarbakir;37.922855;40.1276586
Trabzon;40.9930009;39.6962406
Izmit;40.7711737;29.8994817
Konya;37.8786945;32.3663998
Mugla;37.2101562;28.3555422
Agri;39.4757853;42.8155497
Manisa;38.6238183;27.3586371
Sanliurfa;37.1672537;38.7557855
Rize;41.0315234;40.5115902
Sakarya;40.7888704;30.3971992
Kirsehir;39.1418318;34.1346776
