Şehir;Lattitude;Longitude
Milan;45,4628328;9,1076928
Berlin;52,5069704;13,2846505
Kiev;50,4021702;30,392609
Madrid;40,4380638;-3,7495762
Athens;37,9908997;23,70332
London;51,5287718;-0,24168
Manchester;53,4723272;-2,2935021
Copenhagen;55,6713442;12,5237847
Paris;48,8589507;2,2770205
Prague;50,0598058;14,3255424
Rome;41,9102415;12,3959155
Munich;48,155004;11,4717964
Krakow;50,0468548;19,9348337
Barcelona;41,3948976;2,0787283
Bucharest;44,4379269;26,0245981
Birmingham;52,4775215;-1,9336708
Liverpool;53,4122592;-2,986098
Stockholm;59,326242;17,841972
Marseille;43,2804942;5,310457
Vienna;48,220778;16,3100206
Venice;45,4046987;12,2472508
Frankfurt;50,121301;8,5665245
Moscow;55,5815245;36,825144
Valencia;39,4078969;-0,4315509
Sofia;42,695537;23,2539072
Edinburgh;55,9412846;-3,2753779
Dublin;53,3244431;-6,3857853
Helsinki;60,11021;24,7385109
Nice;43,7032472;7,2177977
Salzburg;47,8028623;13,0214107
Florence;43,7800148;11,2059486
Hamburg;53,5586941;9,7877403
Saint Petersburg;59,940461;29,8145021
Lisbon;38,7436883;-9,1952226
Belgrade;44,8154033;20,2825149
Newcastle;54,2130272;-5,9134798
Leeds;53,8060835;-1,6057715
Oslo;59,8939529;10,6450361
Zurich;47,3775499;8,4666756
Bratislava;48,1359244;16,9758353
Turin;45,0702388;7,6000498
Dortmund;51,5079705;7,4002232
Kazan;55,7956149;48,9332221
Porto;41,1622023;-8,656973
Tirana;41,3310413;19,7828039
Glasgow;55,8555367;-4,3024978
Riga;56,9715833;23,9890817
Basel;47,5546492;7,5594406
Budapest;47,4813602;18,9902212
